type,question,answer
People,Who was the main author of the Declaration of Independence?,Thomas Jefferson
People,How many people signed the Declaration of Independence?,56
People,Which congress adopted the Declaration of Independence?,The Second Continental Congress
People,Which philosopher influenced the authors of the Declaration of Independence?,John Locke
People,Who asked Thomas Jefferson to write the Declaration of Independence?,John Adams
People,Who proposed Independence?,Richard Lee
Event,When did the Declaration of Independence actually pass? (use slashes for date format),07/02/1776
Event,When was the Declaration of Independence ratified? (use slashes for date format),07/04/1776
Location,Where did the Second Continental Congress Meet (city state)?,Philadelphia Pennsylvania
Holiday,What is the name of the holiday that celebrates the signing of the Declaration of Independence?,Independence Day